dataset,sample_id,path_index,experiment_id,shots_in_icl,icl_sample_source,sketch_gen_model,code_gen_model,has_sketch,raw_output,parsed_output,true_label,is_correct,is_syntax_error,solver_error_type,is_solver_timeout,is_runtime_error,is_syntax_parse_error,pruned_by_existence,existence_pruning_result,pruned_by_uniqueness,uniqueness_pruning_result,existence_uniqueness_pruning_result
AR-LSAT,201110_2-G_1_5,3,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,4,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,5,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,0,[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,6,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,0,[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,7,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,8,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,9,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,['Togowa is assigned parking space #1.'],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,10,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,0,[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,11,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,0,[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,12,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,13,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201110_2-G_1_5,14,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[0],[0],0,True,False,,False,False,False,False,[0],False,[0],[0]
AR-LSAT,201510_3-G_4_21,0,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[],[],1,False,False,,False,False,False,True,,False,[],
AR-LSAT,201510_3-G_4_21,1,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,2,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,3,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[1, 4]","[1, 4]",1,False,False,,False,False,False,False,"[1, 4]",True,,
AR-LSAT,201510_3-G_4_21,4,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,5,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,6,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,7,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,8,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[1, 4]","[1, 4]",1,False,False,,False,False,False,False,"[1, 4]",True,,
AR-LSAT,201510_3-G_4_21,9,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,10,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,11,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,12,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,13,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],1,True,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201510_3-G_4_21,14,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[1, 4]","[1, 4]",1,False,False,,False,False,False,False,"[1, 4]",True,,
AR-LSAT,201612_3-G_1_5,0,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201612_3-G_1_5,1,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201612_3-G_1_5,2,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",4,False,False,,False,False,False,False,"[0, 1, 2, 3, 4]",True,,
AR-LSAT,201612_3-G_1_5,3,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201612_3-G_1_5,4,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",4,False,False,,False,False,False,False,"[0, 1, 2, 3, 4]",True,,
AR-LSAT,201612_3-G_1_5,5,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201612_3-G_1_5,6,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",4,False,False,,False,False,False,False,"[0, 1, 2, 3, 4]",True,,
AR-LSAT,201612_3-G_1_5,7,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201612_3-G_1_5,8,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[],[],4,False,False,,False,False,False,True,,False,[],
AR-LSAT,201612_3-G_1_5,9,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,-1,[-1],4,False,False,,False,False,False,False,[-1],False,[-1],[-1]
AR-LSAT,201612_3-G_1_5,10,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201612_3-G_1_5,11,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201612_3-G_1_5,12,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[1],[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201612_3-G_1_5,13,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",4,False,False,,False,False,False,False,"[0, 1, 2, 3, 4]",True,,
AR-LSAT,201612_3-G_1_5,14,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,1,[1],4,False,False,,False,False,False,False,[1],False,[1],[1]
AR-LSAT,201606_2-G_4_18,0,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,1,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[],[],3,False,False,,False,False,False,True,,False,[],
AR-LSAT,201606_2-G_4_18,2,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,3,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,4,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,2,[2],3,False,False,,False,False,False,False,[2],False,[2],[2]
AR-LSAT,201606_2-G_4_18,5,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,6,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,7,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,8,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,9,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,10,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,11,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,12,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,13,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201606_2-G_4_18,14,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,0,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,1,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,2,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,3,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,4,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,5,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,6,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,7,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,8,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,9,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,10,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,11,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,3,[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,12,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
AR-LSAT,201212_4-G_2_10,13,qwen3-coder-next-three_shot_CoT-a3e3d6fe-92e1-4b84-a122-929b3fe37f3a,3,logic-lm autoformalization ICL,qwen/qwen3-coder-next,qwen/qwen3-coder-next,yes,[3],[3],3,True,False,,False,False,False,False,[3],False,[3],[3]
